# Iteration 0
Image 0:
-0.048277 -0.215681 0.028166
0.617115 0.579254 0.597045
-0.096101 -0.072403 0.050321
0.064460 -0.121055 0.045463
0.151081 -0.028155 -0.036210
0.115491 0.085360 -0.064965
-0.046278 0.063548 -0.037591
-0.044922 -0.112331 -0.074943
0.057673 0.314009 0.218249
-0.070623 0.745375 0.427970
0.118030 0.137672 0.156123
-0.076691 -0.053659 -0.051665
-0.195568 0.169758 -0.019657
0.032354 -0.163878 0.004654
-0.091529 0.098347 0.110494
-0.052686 0.005912 -0.103785
-0.007771 -0.099896 0.023584
-0.106475 0.082103 0.081241
-0.040716 0.014759 0.097834
0.019554 0.111205 0.001083
0.055432 -0.028579 -0.060754
-0.032933 -0.022419 -0.086516
-0.112281 0.051465 0.024698
0.087053 0.112563 -0.096407
0.080168 0.071939 0.114384
0.136060 -0.036103 -0.089729
-0.020366 -0.063462 -0.006563
-0.097522 0.003371 0.099333
0.123871 0.041261 0.102043

Image 11:
-0.056316 0.037630 -0.157767
-1.572272 -0.474062 -0.134107
-0.126855 -0.162714 0.031648
1.688221 -0.016247 -0.043359
-0.422397 -0.760956 -0.843089
-0.287680 -0.014177 0.001727
-0.134306 -0.258239 0.048792
0.032146 -0.164616 0.076502
0.323660 -0.103357 -0.049848
0.118107 0.194277 -0.086641
0.028207 0.182747 -0.184186
-0.131737 0.090436 0.031326
-0.045250 -0.148200 -0.038071
0.086545 0.073118 -0.079317
0.027425 -0.028586 0.058776
-0.076895 0.058279 -0.005669
-0.078565 -0.134141 0.003089
0.129320 0.128307 0.026504
-0.047334 -0.233850 0.010273
0.629171 0.215231 0.364560
-0.092987 -0.076928 0.053238
0.066126 -0.119030 0.049570
0.151394 -0.027490 -0.035691
0.114485 0.086590 -0.068138
-0.047567 0.062848 -0.038083
-0.053572 -0.102217 -0.064808
0.143355 0.319681 0.194522
-0.114727 0.908732 0.537694
0.104946 0.093661 0.215311
-0.063822 -0.036224 -0.054315
-0.260314 0.189965 -0.058359
0.047250 -0.160731 0.013463
-0.098731 0.095560 0.108346
-0.052713 0.009843 -0.109681
-0.007280 -0.103766 0.027065
-0.125486 0.096075 0.091838
-0.051998 0.018798 0.106496
0.026820 0.135735 -0.008595
0.054859 -0.022052 -0.064663
-0.036666 -0.025244 -0.089758
-0.113982 0.050690 0.025217
